Ticker,Quantity,Price,Value_k,Weight,Sector,ADTV20_k,DaysToLiq,ATR14_Pct,Beta60D,PosCapExceeded
ANV,300.0,31.15,9345.0,0.006306725094813463,Hàng tiêu dùng thiết yếu,94603713.25,0.0004939023891855534,4.15,1.1589,False
CTG,1200.0,52.1,62520.0,0.04219330689435395,Tài chính,418070193.5,0.0007477213273277756,2.57,1.1053,False
GAS,12.0,60.7,728.4000000000001,0.0004915803701511104,Dịch vụ tiện ích,36894674.0,9.871343489848969e-05,1.51,0.3856,False
GEX,2000.0,54.2,108400.0,0.07315666134593679,Công nghiệp,404682417.5,0.0013393218399462587,4.32,1.3634,False
GMD,100.0,66.8,6680.0,0.004508178023900902,Công nghiệp,177172793.0,0.00018851652917160932,3.11,0.9326,False
HPG,15200.0,29.1,442320.0,0.29851157238500703,Nguyên vật liệu,1623950692.25,0.0013618640088978353,2.7,1.097,True
MBB,2592.0,27.1,70243.2,0.047405516552167036,Tài chính,587425058.25,0.0005978907352817205,2.51,1.3887,False
MWG,3900.0,78.1,304590.0,0.2055607701047868,Hàng tiêu dùng không thiết yếu,558860860.0,0.0027250969051581106,2.46,1.1692,True
STB,200.0,59.2,11840.0,0.007990543084279442,Tài chính,481144599.0,0.0001230399346122557,3.12,1.2415,False
TCB,500.0,39.15,19575.0,0.013210716290098826,Tài chính,585129194.74,0.0001672707512799637,2.3,1.4054,False
VCG,2000.0,28.45,56900.0,0.038400498437119956,Công nghiệp,348112809.0,0.0008172638082961205,3.26,1.0283,False
VIC,100.0,179.9,17990.0,0.01214103632484689,Bất động sản,464909903.0,0.00019347834799724625,4.01,0.6899,False
VIX,900.0,38.0,34200.0,0.02308079167925312,Tài chính,1110066042.75,0.00015404488869542982,4.51,1.9562,False
VNM,5400.0,62.3,336420.0,0.22704210341328465,Hàng tiêu dùng thiết yếu,313621905.0,0.0053634646470245755,2.02,0.445,True
