Ticker,Side,Quantity,LimitPrice
VCB,BUY,100,63.30
HAG,BUY,600,16.35
CTG,SELL,400,52.20
VIX,SELL,300,38.05
STB,SELL,100,59.40
TCB,SELL,200,39.15
MBB,SELL,1000,27.25
ANV,SELL,100,31.45
VCG,SELL,800,28.60
GMD,SELL,100,67.40
VIC,SELL,100,186.20
