Ticker,Action,Score,above_ma20,above_ma50,rsi,macdh_pos,liq_norm,atr_pct,pnl_pct
ANV,take_profit,1.179,1.0,1.0,67.9,1.0,0.48,0.04,0.092
CTG,take_profit,1.243,1.0,1.0,58.9,1.0,0.82,0.03,0.032
GAS,exit,0.459,0.0,0.0,40.2,0.0,0.30,0.02,-0.072
GEX,hold,0.677,1.0,0.0,50.5,0.0,0.81,0.04,0.009
GMD,take_profit,0.740,0.0,1.0,46.6,0.0,0.65,0.03,0.049
HPG,hold,0.992,1.0,1.0,55.6,0.0,1.00,0.03,0.012
MBB,take_profit,1.170,1.0,1.0,56.4,0.0,0.92,0.03,0.152
MWG,hold,0.950,1.0,1.0,55.9,0.0,0.90,0.02,0.009
STB,take_profit,1.247,1.0,1.0,60.7,1.0,0.86,0.03,0.059
TCB,take_profit,1.204,1.0,1.0,60.4,1.0,0.91,0.02,0.057
VCG,take_profit,1.078,1.0,1.0,61.2,1.0,0.78,0.03,0.069
VIC,take_profit,1.068,1.0,1.0,80.5,1.0,0.84,0.04,0.146
VIX,take_profit,1.175,1.0,1.0,59.8,0.0,0.97,0.05,0.050
VNM,hold,0.972,1.0,1.0,54.0,0.0,0.77,0.02,0.017
HAG,new_partial,1.125,1.0,1.0,60.8,1.0,0.60,0.04,0.000
VCB,new_partial,1.121,1.0,1.0,52.9,1.0,0.75,0.02,0.000
