Ticker,Quantity,AvgCost,CostValue
STB,100,51.976,5197.6
TCB,2100,37.048,77800.8
VNM,1600,60.401,96641.6
CTG,4600,50.144,230662.4
GAS,12,65.417,785.004
MBB,2592,23.532,60994.944
MWG,100,72.6,7260
HPG,3200,28.132,90022.4
GMD,200,63.706,12741.2
