Ticker,Side,Quantity,LimitPrice
ANV,SELL,600,30.50
TCB,SELL,1400,38.65
VIC,SELL,100,180.60
GMD,SELL,100,66.50
MBB,SELL,1000,27.10
STB,SELL,100,58.50
HPG,SELL,20200,27.25
MSN,SELL,200,78.90
REE,SELL,1800,63.80
GEX,SELL,700,53.10
PNJ,SELL,800,82.30
IMP,SELL,800,52.00
VIX,SELL,500,37.75
PVT,SELL,5400,17.55
