Ticker,LastAction,Date
ANV,take_profit,2025-10-04
GAS,exit,2025-10-04
GMD,take_profit,2025-10-04
HPG,exit,2025-10-04
IMP,exit,2025-10-04
MBB,take_profit,2025-10-04
MSN,exit,2025-10-04
PNJ,exit,2025-10-04
PVT,exit,2025-10-04
REE,exit,2025-10-04
STB,take_profit,2025-10-04
TCB,take_profit,2025-10-04
VIC,take_profit,2025-10-04
