Ticker,Side,Quantity,LimitPrice,MarketPrice,FillProb,FillRateExp,ExpR,Priority,TTL_Min,SlipBps,SlipPct,Signal,LimitLock,Notes
ANV,SELL,600,30.50,30.85,0.9,1.0,1.5,1.101,11,45.4,0.0045,TP,,
TCB,SELL,1400,38.65,38.35,0.715,1.0,1.5,0.84,11,29.6,0.003,TP,,
VIC,SELL,100,180.60,176.50,0.573,1.0,1.5,0.642,11,79.4,0.0079,TP,,
GMD,SELL,100,66.50,65.90,0.752,1.0,1.5,0.599,11,36.5,0.0037,TP,,
MBB,SELL,1000,27.10,26.55,0.539,1.0,1.5,0.545,11,36.3,0.0036,TP,,
STB,SELL,100,58.50,57.00,0.437,1.0,1.5,0.531,11,45.4,0.0045,TP,,
HPG,SELL,20200,27.25,27.65,0.9,1.0,1.5,0.51,3,35.5,0.0035,EXIT,,
MSN,SELL,200,78.90,80.00,0.9,1.0,1.5,0.492,3,37.4,0.0037,EXIT,,
REE,SELL,1800,63.80,64.50,0.9,1.0,1.5,0.482,3,29.1,0.0029,EXIT,,
GEX,SELL,700,53.10,52.50,0.773,1.0,1.5,0.472,11,46.5,0.0047,TRIM,,
PNJ,SELL,800,82.30,83.00,0.9,1.0,1.5,0.465,3,26.5,0.0026,EXIT,,
IMP,SELL,800,52.00,52.50,0.9,1.0,1.5,0.33,3,25.6,0.0026,EXIT,,
VIX,SELL,500,37.75,35.50,0.27,1.0,1.5,0.269,11,88.7,0.0089,TRIM,,
PVT,SELL,5400,17.55,17.75,0.05,1.0,1.5,0.019,3,24.9,0.0025,EXIT,,near_ceiling
