Ticker,Side,Quantity,LimitPrice,MarketPrice,FillProb,FillRateExp,ExpR,Priority,TTL_Min,SlipBps,Signal,LimitLock,Notes
LPB,BUY,1100,52.50,52.50,0.900,1.000,1.50,1.115,11,29.3,NEW,,
HAG,BUY,3400,16.05,16.50,0.603,1.000,1.50,0.691,11,45.7,NEW,,
