Ticker,Sector,LastPrice,LastClose,PriceSource,Sell_1,Sell_2,Sell_3,Sell_4
SCS,Công nghiệp,55.0,55.0,intraday,53.9,52.8,51.15,56.65
SHB,Tài chính,16.35,16.35,intraday,16.023,15.696,15.2055,16.8405
SJS,Bất động sản,64.1,64.1,intraday,62.818,61.536,59.613,66.023
SSB,Tài chính,17.75,17.75,intraday,17.395,17.04,16.5075,18.2825
SSI,Tài chính,35.85,35.85,intraday,35.133,34.416,33.3405,36.9255
STB,Tài chính,56.8,56.8,intraday,55.664,54.528,52.824,58.504
SZC,Công nghiệp,30.25,30.25,intraday,29.645,29.04,28.1325,31.1575
TCB,Tài chính,36.0,36.0,intraday,35.28,34.56,33.48,37.08
TCH,Công nghiệp,21.95,21.95,intraday,21.511,21.072,20.4135,22.6085
TLG,Công nghiệp,53.4,53.4,intraday,52.332,51.264,49.662,55.002
TPB,Tài chính,17.95,17.95,intraday,17.591,17.232,16.6935,18.4885
VCB,Tài chính,60.0,60.0,intraday,58.8,57.6,55.8,61.8
VCG,Công nghiệp,26.0,26.0,intraday,25.48,24.96,24.18,26.78
VCI,Tài chính,38.2,38.2,intraday,37.436,36.672,35.526,39.346
VCS,Bất động sản,47.2,47.2,intraday,46.256,45.312,43.896,48.616
VGC,Nguyên vật liệu,47.3,47.3,intraday,46.354,45.408,43.989,48.719
VHC,Hàng tiêu dùng thiết yếu,56.2,56.2,intraday,55.076,53.952,52.266,57.886
VHM,Bất động sản,107.0,107.0,intraday,104.86,102.72,99.51,110.21
VIB,Tài chính,19.2,19.2,intraday,18.816,18.432,17.856,19.776
VIC,Bất động sản,220.1,220.1,intraday,215.698,211.296,204.693,226.703
VIX,Tài chính,32.0,32.0,intraday,31.36,30.72,29.76,32.96
VJC,Công nghiệp,187.5,187.5,intraday,183.75,180.0,174.375,193.125
VND,Tài chính,20.75,20.75,intraday,20.335,19.92,19.2975,21.3725
VNM,Hàng tiêu dùng thiết yếu,57.4,57.4,intraday,56.252,55.104,53.382,59.122
VPB,Tài chính,29.45,29.45,intraday,28.861,28.272,27.3885,30.3335
VPI,Bất động sản,55.7,55.7,intraday,54.586,53.472,51.801,57.371
VRE,Bất động sản,36.8,36.8,intraday,36.064,35.328,34.224,37.904
VSH,Dịch vụ tiện ích,43.9,43.9,intraday,43.022,42.144,40.827,45.217
