Ticker,Quantity,AvgCost,CostValue
ANV,1500,28.53,42793.5
CTG,600,50.82,30489
GEX,2000,53.73,107462
HPG,12000,28.91,346920
IMP,800,53.72,42972.8
MSN,200,83.73,16745
MWG,3800,77.51,294530.4
PNJ,300,86.03,25807.8
PVT,5400,18.53,100067.4
STB,300,55.92,16775.1
VCG,2000,26.62,53236
VIC,200,156.95,31389.4
VIX,2200,36.18,79587.2
VNM,3800,61.63,234197.8
