Ticker,Action,Score,above_ma20,above_ma50,rsi,macdh_pos,liq_norm,atr_pct,pnl_pct
ANV,take_profit,1.227,1.0,1.0,68.1,1.0,0.48,0.04,0.081
CTG,hold,1.109,1.0,1.0,52.6,0.0,0.82,0.03,0.012
GAS,exit,0.538,0.0,0.0,32.2,0.0,0.31,0.02,-0.081
GEX,hold,0.612,0.0,0.0,45.7,0.0,0.81,0.04,-0.023
GMD,trim,0.798,0.0,1.0,42.9,0.0,0.66,0.03,0.034
HPG,trim,0.574,0.0,0.0,42.8,0.0,1.00,0.03,-0.033
IMP,trim,0.368,0.0,0.0,42.5,0.0,0.01,0.02,-0.023
MBB,take_profit,1.013,0.0,1.0,52.0,0.0,0.92,0.03,0.128
MSN,trim,0.550,0.0,0.0,42.2,0.0,0.93,0.03,-0.045
MWG,hold,0.886,0.0,1.0,52.0,0.0,0.89,0.03,-0.005
PNJ,exit,0.521,0.0,0.0,40.3,0.0,0.27,0.02,-0.036
PVT,trim,0.375,0.0,0.0,41.0,0.0,0.42,0.02,-0.042
REE,exit,0.536,0.0,0.0,39.6,0.0,0.32,0.02,-0.052
STB,hold,1.216,1.0,1.0,54.3,1.0,0.85,0.03,0.038
TCB,take_profit,1.177,1.0,1.0,55.5,1.0,0.91,0.02,0.035
VCG,hold,1.022,1.0,1.0,53.6,0.0,0.77,0.04,0.024
VIC,take_profit,1.131,1.0,1.0,79.1,1.0,0.84,0.04,0.125
VIX,hold,0.997,0.0,1.0,50.9,0.0,0.97,0.05,-0.019
VNM,hold,0.667,0.0,0.0,49.4,0.0,0.74,0.02,0.001
HAG,new,1.150,1.0,1.0,57.9,1.0,0.59,0.04,0.000
LPB,new,1.241,1.0,1.0,80.5,1.0,0.51,0.03,0.000
