Ticker,Side,Quantity,LimitPrice
ANV,SELL,600,30.50
TCB,SELL,1400,38.65
VIC,SELL,100,180.60
GMD,SELL,100,66.50
REE,SELL,1800,63.80
PNJ,SELL,800,82.30
MBB,SELL,1000,27.10
HPG,SELL,5000,27.85
MSN,SELL,100,80.60
PVT,SELL,1800,18.75
IMP,SELL,200,54.90
