Ticker,Quantity,AvgCost,CostValue
TCB,800,37.048,29638.4
VNM,1600,60.401,96641.6
CTG,1400,50.144,70201.6
GAS,12,65.417,785.004
MBB,2592,23.532,60994.944
MWG,100,72.6,7260
HPG,3200,28.132,90022.4
GMD,100,63.706,6370.6
