Ticker,Side,Quantity,LimitPrice,MarketPrice,FillProb,FillRateExp,ExpR,Priority,TTL_Min,SlipBps,SlipPct,Signal,LimitLock,Notes
HPG,SELL,200,27.85,27.65,0.773,1.0,0.79,0.438,9,31.5,0.0031,EXIT,,
FPT,SELL,100,94.10,93.40,0.758,1.0,0.79,0.285,9,33.6,0.0034,TP,,
