Ticker,Side,Quantity,LimitPrice
HAG,BUY,3700,16.15
LPB,BUY,700,49.40
STB,SELL,100,58.60
TCB,SELL,800,38.80
ANV,SELL,300,31.20
MBB,SELL,1000,27.10
VIC,SELL,100,183.30
VCG,SELL,800,28.55
GMD,SELL,100,67.70
MSN,SELL,100,82.90
PNJ,SELL,300,83.00
PVT,SELL,5400,17.80
IMP,SELL,200,54.60
