Ticker,Side,Quantity,LimitPrice
ANV,SELL,100,30.65
TCB,SELL,100,39.05
STB,SELL,100,59.20
MBB,SELL,1000,27.20
VCG,SELL,100,28.55
GMD,SELL,100,67.40
VIC,SELL,100,186.20
