Ticker,Quantity,Price,Value_k,Weight,Sector,ADTV20_k,DaysToLiq,ATR14_Pct,Beta60D,PosCapExceeded
ANV,300.0,30.6,9180.0,0.00660327617447323,Hàng tiêu dùng thiết yếu,97701384.0,0.00046979887204054346,4.36,1.1772,False
CTG,800.0,51.8,41440.0,0.029808253232044734,Tài chính,426248013.5,0.00048610197217963103,2.63,1.1085,False
GAS,12.0,60.8,729.5999999999999,0.0005248094005332972,Dịch vụ tiện ích,37432701.0,9.745489645537466e-05,1.54,0.3842,False
GEX,2000.0,53.6,107200.0,0.07711015314853271,Công nghiệp,415842293.5,0.001288950182264229,4.43,1.3748,False
GMD,100.0,66.8,6680.0,0.004804998349180956,Công nghiệp,178642727.0,0.00018696535012029906,3.12,0.9369,False
HPG,15200.0,29.15,443080.0,0.31871237553220033,Nguyên vật liệu,1656822925.25,0.0013371374612442157,2.74,1.0946,True
MBB,2592.0,26.95,69854.4,0.05024704740763865,Tài chính,603291391.75,0.0005789441135349996,2.56,1.3931,False
MWG,3900.0,78.8,307320.0,0.22105869650752866,Hàng tiêu dùng không thiết yếu,575095193.5,0.0026719054816791822,2.51,1.1555,True
STB,100.0,58.7,5870.0,0.00422235633378626,Tài chính,492458482.5,5.959893278922249e-05,3.2,1.2491,False
TCB,300.0,39.05,11715.0,0.008426729889319596,Tài chính,594990668.0,9.844692219609736e-05,2.34,1.4055,False
VCG,400.0,28.15,11260.0,0.008099443325116402,Công nghiệp,359846914.75,0.00015645541949168537,3.34,1.0257,False
VIC,100.0,179.9,17990.0,0.012940407230803204,Bất động sản,476647368.0,0.00018871393411323733,4.07,0.6898,False
VIX,600.0,37.6,22560.0,0.016227659095437483,Tài chính,1131435503.5,9.969635887424669e-05,4.68,1.9629,False
VNM,5400.0,62.1,335340.0,0.24121379437340448,Hàng tiêu dùng thiết yếu,319341902.0,0.005250485418603162,2.06,0.4479,True
