Ticker,Side,Quantity,LimitPrice,MarketPrice,FillProb,FillRateExp,ExpR,exp_r_net,Priority,priority_net,TTL_Min,SlipBps,Signal,LimitLock,Notes
HAG,BUY,300,16.35,16.75,0.633,1.000,1.50,1.12,0.724,0.721,11,42.8,NEW,,
LPB,BUY,700,49.90,52.20,0.269,1.000,1.50,0.99,0.339,0.337,11,54.1,NEW,,
