Ticker,Action,Score,above_ma20,above_ma50,rsi,macdh_pos,liq_norm,atr_pct,pnl_pct
ANV,take_profit,1.180,1.0,1.0,63.2,1.0,0.48,0.04,0.073
CTG,hold,1.237,1.0,1.0,56.9,1.0,0.82,0.03,0.023
GAS,exit,0.460,0.0,0.0,39.2,0.0,0.29,0.02,-0.071
GEX,hold,0.543,0.0,0.0,49.3,0.0,0.81,0.04,-0.002
GMD,take_profit,0.755,0.0,1.0,46.6,0.0,0.65,0.03,0.049
HPG,hold,0.988,1.0,1.0,55.6,0.0,1.00,0.03,0.014
MBB,take_profit,1.165,1.0,1.0,54.8,0.0,0.92,0.03,0.145
MWG,hold,0.984,1.0,1.0,58.2,0.0,0.90,0.03,0.018
STB,take_profit,1.238,1.0,1.0,58.3,1.0,0.86,0.03,0.050
TCB,take_profit,1.201,1.0,1.0,59.0,1.0,0.91,0.02,0.054
VCG,take_profit,1.084,1.0,1.0,60.0,1.0,0.78,0.03,0.057
VIC,take_profit,1.042,1.0,1.0,80.5,1.0,0.84,0.04,0.146
VIX,hold,1.168,1.0,1.0,57.8,0.0,0.97,0.05,0.039
VNM,hold,0.981,1.0,1.0,52.5,0.0,0.77,0.02,0.014
HAG,new_partial,1.143,1.0,1.0,60.8,1.0,0.61,0.04,0.000
LPB,new,1.262,1.0,1.0,76.5,1.0,0.53,0.03,0.000
