Ticker,Side,Quantity,LimitPrice,MarketPrice,FillProb,FillRateExp,ExpR,Priority,TTL_Min,SlipBps,SlipPct,Signal,LimitLock,Notes
HAG,BUY,3700,16.15,16.50,0.675,1.0,1.5,0.753,11,42.4,0.0042,NEW,,
LPB,BUY,700,49.40,51.70,0.275,1.0,1.5,0.348,11,53.3,0.0053,NEW,,
STB,SELL,100,58.60,57.50,0.05,1.0,1.5,0.062,11,29.8,0.003,TP,,near_ceiling
ANV,SELL,300,31.20,31.50,0.05,1.0,1.5,0.06,11,38.8,0.0039,TP,,near_ceiling
TCB,SELL,800,38.80,38.80,0.05,1.0,1.5,0.06,11,23.4,0.0023,TP,,near_ceiling
MBB,SELL,1000,27.10,27.00,0.05,1.0,1.5,0.059,11,25.6,0.0026,TP,,near_ceiling
VIC,SELL,100,183.30,178.60,0.05,1.0,1.5,0.053,11,38.9,0.0039,TP,,near_ceiling
VCG,SELL,800,28.55,27.75,0.05,1.0,1.5,0.05,11,32.8,0.0033,TP,,near_ceiling
GMD,SELL,100,67.70,67.10,0.05,1.0,1.5,0.038,11,29.6,0.003,TP,,near_ceiling
MSN,SELL,100,82.90,82.30,0.05,1.0,1.5,0.038,11,26.6,0.0027,TRIM,,near_ceiling
PNJ,SELL,300,83.00,83.70,0.05,1.0,1.5,0.022,3,18.9,0.0019,EXIT,,near_ceiling
PVT,SELL,5400,17.80,18.00,0.05,1.0,1.5,0.019,3,24.2,0.0024,EXIT,,near_ceiling
IMP,SELL,200,54.60,52.70,0.05,1.0,1.5,0.017,11,19.5,0.002,TRIM,,near_ceiling
