Ticker,Quantity,Price,Value_k,Weight,Sector,ADTV20_k,DaysToLiq,ATR14_Pct,Beta60D,PosCapExceeded
ANV,900.0,31.5,28350.0,0.01421479289121968,Hàng tiêu dùng thiết yếu,97212132.0,0.0014581513344445525,4.22,1.1875,False
CTG,5200.0,51.7,268840.0,0.1347973517063668,Tài chính,422481267.5,0.0031816795285485645,2.64,1.0869,True
GAS,12.0,60.6,727.2,0.0003646207192414445,Dịch vụ tiện ích,39928924.0,9.10618077261486e-05,1.6,0.3799,False
GEX,2000.0,53.3,106600.0,0.05344962688550328,Công nghiệp,406310373.72,0.00131180504972119,4.29,1.2926,False
GMD,200.0,67.1,13419.999999999998,0.0067288367054733015,Công nghiệp,186116638.0,0.00036052660697642725,3.07,0.8993,False
HPG,15200.0,28.75,437000.0,0.21911338601280425,Nguyên vật liệu,1676554803.5,0.0013032678654098047,2.89,1.0743,True
IMP,800.0,52.7,42160.0,0.021139177012127752,Y tế,2558089.5,0.08240524813537603,1.79,0.0219,False
MBB,2592.0,27.0,69984.0,0.03509023159432516,Tài chính,599384206.0,0.0005837991667067717,2.57,1.398,False
MSN,100.0,82.3,8230.0,0.0041265518693029265,Hàng tiêu dùng thiết yếu,664547980.5,6.192178925747258e-05,2.7,1.2186,False
MWG,3900.0,77.4,301860.0,0.1513536995465105,Hàng tiêu dùng không thiết yếu,561961510.5,0.0026857711280922326,2.55,1.2134,True
PNJ,300.0,83.7,25110.0,0.012590245132223146,Hàng tiêu dùng không thiết yếu,36608010.87,0.003429577215922631,1.73,0.367,False
PVT,5400.0,18.0,97200.0,0.048736432769896046,Năng lượng,62776106.75,0.007741798992655752,2.39,0.3975,False
STB,400.0,57.5,23000.0,0.011532283474358118,Tài chính,478881387.0,0.00024014297302392333,3.1,1.1606,False
TCB,2100.0,38.8,81480.0,0.04085436771698694,Tài chính,605764559.21,0.000672538519802653,2.3,1.4116,False
VCG,2000.0,27.75,55500.0,0.02782790142725546,Công nghiệp,343870128.0,0.0008069907136568721,3.47,1.0243,False
VIC,100.0,178.6,17860.0,0.008955068819653739,Bất động sản,467124765.0,0.00019116948338202536,4.24,0.7334,False
VIX,2200.0,37.4,82280.0,0.04125549062044287,Tài chính,1124415401.0,0.00036587901556143837,4.74,1.9531,False
VNM,5400.0,62.0,334800.0,0.1678699350963086,Hàng tiêu dùng thiết yếu,316081416.0,0.005296103836740594,2.12,0.4334,True
