Ticker,Action,Score,above_ma20,above_ma50,rsi,macdh_pos,liq_norm,atr_pct,pnl_pct
ANV,take_profit,1.204,1.0,1.0,70.4,1.0,0.48,0.04,0.104
CTG,hold,1.156,1.0,1.0,57.7,0.0,0.82,0.03,0.029
GAS,exit,0.464,0.0,0.0,37.4,0.0,0.31,0.02,-0.074
GEX,hold,0.572,0.0,0.0,48.6,0.0,0.81,0.04,-0.008
GMD,take_profit,0.766,0.0,1.0,47.4,0.0,0.65,0.03,0.053
HPG,hold,0.837,0.0,1.0,53.3,0.0,1.00,0.03,0.000
IMP,trim,0.342,0.0,0.0,44.6,0.0,0.01,0.02,-0.019
MBB,take_profit,1.178,1.0,1.0,56.4,0.0,0.91,0.03,0.147
MSN,trim,0.759,0.0,1.0,51.0,0.0,0.93,0.03,-0.017
MWG,hold,0.797,0.0,1.0,53.5,0.0,0.89,0.03,0.000
PNJ,exit,0.440,0.0,0.0,44.8,0.0,0.26,0.02,-0.027
PVT,exit,0.383,0.0,0.0,46.0,0.0,0.42,0.02,-0.029
STB,take_profit,1.240,1.0,1.0,56.1,1.0,0.86,0.03,0.047
TCB,take_profit,1.209,1.0,1.0,58.7,1.0,0.92,0.02,0.047
VCG,take_profit,0.998,1.0,1.0,57.3,0.0,0.78,0.03,0.042
VIC,take_profit,1.066,1.0,1.0,79.9,1.0,0.85,0.04,0.138
VIX,hold,1.180,1.0,1.0,58.0,0.0,0.97,0.05,0.034
VNM,hold,0.985,1.0,1.0,52.8,0.0,0.76,0.02,0.012
HAG,new,1.116,1.0,1.0,57.9,1.0,0.57,0.04,0.000
LPB,new,1.268,1.0,1.0,74.6,1.0,0.52,0.03,0.000
