Ticker,Quantity,AvgPrice,Sector,LastClose,PreviousClose,Volume,LastPrice,ChangePct,LastUpdated,PriceSource,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,RSI_14,ATR_14,ATRPct_14,MACD_Hist,Z_20,Return_20,Return_60,ADV_20,Hi_252,Lo_252,PctFromHi_252,PctToLo_252,MarketValue,CostBasis,UnrealizedPnL,UnrealizedPct
HT1,1600,19.21,Nguyên vật liệu,16.85,17.65,1569900.0,16.85,-4.5325779036827,2025-10-28 14:29:00,intraday,17.79,17.56586,13.572989999999999,17.827519700511363,17.190340876034337,43.91785384924981,0.8946848054471389,5.309702109478569,-0.10702997567941372,-1.2448880054185094,-0.2958579881656598,21.889467592592602,928050.0,21.0,9.12,-19.76190476190476,84.75877192982459,26960.000000000004,30736.0,-3775.9999999999964,-12.285268089536693
LPB,1000,51.24,Tài chính,53.1,51.9,2602700.0,53.1,2.3121387283236983,2025-10-28 14:29:00,intraday,51.279999999999994,47.684000000000005,36.3514,50.48982790683421,47.23704150548413,63.93625920133392,2.020165534514701,3.8044548672593237,-0.10282879279175527,1.3399598543528586,7.272727272727275,53.91304347826087,3301275.0,54.7,24.684,-2.925045703839124,115.11910549343702,53100.0,51240.0,1860.0,3.629976580796246
VNM,900,58.78,Hàng tiêu dùng thiết yếu,57.2,57.0,1904200.0,57.2,0.35087719298245723,2025-10-28 14:29:00,intraday,58.7034,58.55442,56.258125,58.20557951173893,58.33086992118117,45.38327044443425,1.5330858515831205,2.6802200202502102,-0.2697519286911684,-0.8330851093141396,-0.19542155220546586,-0.19542155220546586,4611640.0,63.234,47.359,-9.542334819875386,20.779577271479543,51480.0,52902.0,-1422.0,-2.6879891119428345
