Ticker,Quantity,AvgPrice,Sector,LastClose,PreviousClose,Volume,LastPrice,ChangePct,LastUpdated,PriceSource,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,RSI_14,ATR_14,ATRPct_14,MACD_Hist,Z_20,Return_20,Return_60,ADV_20,Hi_252,Lo_252,PctFromHi_252,PctToLo_252,MarketValue,CostBasis,UnrealizedPnL,UnrealizedPct
HT1,1900,18.87,Nguyên vật liệu,16.7,17.65,600900.0,16.7,-5.3824362606232246,2025-10-28 11:29:00,intraday,17.7825,17.562859999999997,13.57224,17.81323398622565,17.184458523093163,43.08981847180121,0.8803990911614247,5.271850845277992,-0.1166026252520661,-1.4139458649238763,-1.1834319526627168,20.804398148148138,879600.0,21.0,9.12,-20.47619047619048,83.1140350877193,31730.0,35853.0,-4123.0,-11.499735029146807
LPB,700,51.24,Tài chính,53.0,51.9,1256700.0,53.0,2.1194605009633882,2025-10-28 11:29:00,intraday,51.275,47.68200000000001,36.3509,50.480304097310395,47.233119936856674,63.65209889562121,2.013022677371844,3.798155995041215,-0.10921055917352529,1.2764882093353649,7.070707070707072,53.623188405797094,3233975.0,54.7,24.684,-3.1078610603290757,114.71398476746072,37100.0,35868.0,1232.0,3.4348165495706517
VNM,900,58.78,Hàng tiêu dùng thiết yếu,57.0,57.0,980400.0,57.0,0.0,2025-10-28 11:29:00,intraday,58.6934,58.550419999999995,56.257125,58.18653189269131,58.32302678392627,44.56337767553133,1.5259429944402634,2.6770929727022166,-0.2825154614547087,-0.9335597894348245,-0.5443886097152406,-0.5443886097152406,4565450.0,63.234,47.359,-9.858620362463233,20.357271057243608,51300.0,52902.0,-1602.0,-3.0282408982647224
