Sector,Quantity,MarketValue,CostBasis,UnrealizedPnL,UnrealizedPct
Hàng tiêu dùng thiết yếu,900,51300.0,52902.0,-1602.0,-3.0282408982647113
Nguyên vật liệu,1600,26560.000000000004,30736.0,-4175.999999999996,-13.586673607496081
Tài chính,1000,52900.0,51240.0,1660.0,3.2396565183450354
